n;Singly(ns);Doubly(ns);Array(ns)
10000;143840;152980;9038820
20000;265900;246300;30466340
30000;393340;368640;72303140
40000;506300;511600;128713680
50000;699100;647820;199874080
60000;965360;796440;313813960
70000;1026920;1006840;466856880
80000;1086820;1082800;555594020
90000;1207980;1238180;755778180
100000;1257700;1254640;913856600
