n;Singly(ns);Doubly(ns);Array(ns)
10000;125304840;111979820;11762820
20000;502621000;452290460;48269480
30000;1126908480;1026741900;106243980
40000;2053359700;1847369920;183221460
50000;3345112060;3045288160;289879560
60000;5274474780;4810874840;419931180
70000;7407449460;7131407020;633791280
80000;9839539420;8706903640;815703940
90000;12345711080;11410429720;1063862220
100000;15447175600;14151751480;1288575720
