n;Singly(ns);Doubly(ns);Array(ns)
10000;64306080;62685340;3957780
20000;252989540;255035020;17056920
30000;547456620;545120420;39932780
40000;996726740;997710760;69735160
50000;1509135300;1488141920;118763580
60000;2250504420;2222785280;181317580
70000;2937385900;3031693720;285901660
80000;3788025180;3775644980;379519460
90000;4599667340;4675642820;501615880
100000;5495568040;5525889680;665486880
