n;Singly(ns);Doubly(ns);Array(ns)
10000;307660;257140;8862840
20000;530960;535840;32785080
30000;831080;870280;73607800
40000;1234560;1083620;130413460
50000;1387720;1390100;206394960
60000;1572560;1611580;305563860
70000;1882100;2026420;442938280
80000;2247080;2231940;598090640
90000;2089520;2640480;751125600
100000;2415500;2063400;950625760
