n;Singly(ns);Doubly(ns);Array(ns)
10000;131428920;139500;2700
20000;460136580;283620;4960
30000;1034682620;425480;8080
40000;1888591760;488760;8560
50000;3026793160;636740;10700
60000;4880203740;1121780;22360
70000;6748177620;971200;14960
80000;8983900480;942800;19580
90000;11557631700;1257280;23140
100000;14257315800;1414340;28640
