n;Singly(ns);Doubly(ns);Array(ns)
10000;75229120;82582860;24160220
20000;285049720;288364620;83855740
30000;653761680;650876620;184199000
40000;1180316020;1178150860;335477120
50000;1926389740;1926439920;520962820
60000;3115737660;3141909760;760735540
70000;4546829780;4527102460;1163976900
80000;6401526600;6314619320;1411222100
90000;7936038420;7869838500;1906087740
100000;10148093520;9822750080;2322059960
